ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source
form-0,akaw1239,cockroach,korori,,,stegeman2014akawaio
form-1,akaw1239,cockroach,masarawe,,,stegeman2014akawaio
form-2,akaw1239,corn,aʔnaiʔ,,,stegeman2014akawaio
form-3,apal1257,alligator,zakare,,,rodrigues1985evidence
form-4,apal1257,anteater,ariri,,,camargo2002lexico
form-5,apal1257,anteater,mariʃimo,,,camargo2002lexico
form-6,apal1257,bow,takɨ,,,camargo2002lexico
form-7,apal1257,bromeliaplant,ɨrawa,,,camargo2002lexico
form-8,apal1257,brother,akoro-ne,,,rodrigues1985evidence
form-9,apal1257,chachalacabird,arakua,,,camargo2002lexico
form-10,apal1257,characinfish,kurumata,,,camargo2002lexico
form-11,apal1257,coati,ʃieu,,,camargo2002lexico
form-12,apal1257,cockroach,arawe,,,camargo2002lexico
form-13,apal1257,corn,awaʃi,,,rodrigues1985evidence
form-14,apal1257,21,um,,,rodrigues1985evidence
form-15,apal1257,heron,akarara,,,camargo2002lexico
form-16,apal1257,hut,tapɨj,,,rodrigues1985evidence
form-17,apal1257,jaguar,iʃtaino,,,camargo2002lexico
form-18,apal1257,malesyoungerbrother,ɨpɨrɨ,,,rodrigues1985evidence
form-19,apal1257,marakanaparrot,marakanã(n),,,camargo2002lexico
form-20,apal1257,marakuja,murukuja,,,camargo2002lexico
form-21,apal1257,myletesfish,paku,,,rodrigues1985evidence
form-22,apal1257,owl,kurou,,,camargo2002lexico
form-23,apal1257,owl,mununpo,,,camargo2002lexico
form-24,apal1257,owl,pupuri,,,camargo2002lexico
form-25,apal1257,owl,susuku,,,camargo2002lexico
form-26,apal1257,parrot,parawa,,,rodrigues1985evidence
form-27,apal1257,pineapple,nana,,,rodrigues1985evidence
form-28,apal1257,piranha,pone,,,camargo2002lexico
form-29,apal1257,termite,nuko,,,camargo2002lexico
form-30,apal1257,war,rɨʔtan,,,camargo2002lexico
form-31,apal1257,wildcat,marakazu,,,camargo2002lexico
form-32,arec1238,alligator,jakare,,,rodrigues1985evidence
form-33,baka1277,ahai,ãʒi,,,meira2005bakairi
form-34,baka1277,21,ũe,,,rodrigues1985evidence
form-35,baka1277,femalescousin,iiri,,,rodrigues1985evidence
form-36,baka1277,26,a,,,rodrigues1985evidence
form-37,baka1277,leaf,sarɨ,,,meira2005bakairi
form-38,baka1277,malesbrotherinlaw,pama,,,rodrigues1985evidence
form-39,baka1277,sister,enaru-to,,,rodrigues1985evidence
form-40,cari1279,corn,anad͡ʒi,,,koch1908hiana
form-41,gali1262,heron,uala,,,rodrigues1985evidence
form-42,gali1262,myletesfish,haku,,,rodrigues1985evidence
form-43,gali1262,parrotsp,marakana,,,rodrigues1985evidence
form-44,gali1262,turtle,alala,,,rodrigues1985evidence
form-45,cari1283,barkskin,pitupə,,,gildea2007greenberg
form-46,cari1283,face,əmpata,,,
form-47,cari1283,fat,katɨ,,,gildea2007greenberg
form-48,cari1283,father,jumɨ,,,
form-49,cari1283,feather,apəri,,,gildea2007greenberg
form-50,cari1283,grandfather,tamo(ko),,,gildea2007greenberg
form-51,cari1283,leaf,jare,,,gildea2007greenberg
form-52,cari1283,trunk,əpu,,,
form-53,enap1235,cockroach,takanapaiʔkəmənəʔ,,,mattei1994diccionario
form-54,enap1235,cockroach,para,,,mattei1994diccionario
form-55,enap1235,keai,keʔɲat,,,mattei1994diccionario
form-56,gali1262,alligator,akare,,,rodrigues1985evidence
form-57,gali1262,anteater,tamanoa,,,rodrigues1985evidence
form-58,gali1262,bee,tapiuka,,,rodrigues1985evidence
form-59,gali1262,bow,urapa,,,rodrigues1985evidence
form-60,gali1262,coatimundibear,kuasi,,,rodrigues1985evidence
form-61,gali1262,cockroach,alawi,,,rodrigues1985evidence
form-62,gali1262,cockroach,arawe,,,courtz2008carib
form-63,gali1262,corn,awasi,,,rodrigues1985evidence
form-64,gali1262,25,ka-tɨ,,,rodrigues1985evidence
form-65,gali1262,21,umu,,,rodrigues1985evidence
form-66,gali1262,grandfather,tamu,,,rodrigues1985evidence
form-67,gali1262,ibisrubra,uara,,,rodrigues1985evidence
form-68,gali1262,malesyoungerbrother,piiri,,,rodrigues1985evidence
form-69,gali1262,manatee,jarawa,,,rodrigues1985evidence
form-70,gali1262,mugilfish,kwerimaŋ,,,rodrigues1985evidence
form-71,gali1262,mushroom,urupi,,,rodrigues1985evidence
form-72,gali1262,mycteriaamericana,tujuju,,,rodrigues1985evidence
form-73,gali1262,myletesfish,paku,,,rodrigues1985evidence
form-74,gali1262,owl,urukureja,,,rodrigues1985evidence
form-75,gali1262,parrot,parawa,,,rodrigues1985evidence
form-76,gali1262,parrotsp,marakana,,,rodrigues1985evidence
form-77,gali1262,passionflower,marekuja,,,rodrigues1985evidence
form-78,gali1262,pineapple,nana,,,rodrigues1985evidence
form-79,gali1262,piranha,piraj,,,rodrigues1985evidence
form-80,gali1262,prochilodusfish,kulimata,,,rodrigues1985evidence
form-81,gali1262,sea,parana,,,rodrigues1985evidence
form-82,gali1262,shamanhut,tokai,,,rodrigues1985evidence
form-83,gali1262,sister,enau-tɨk,,,rodrigues1985evidence
form-84,gali1262,termite,kupisa,,,rodrigues1985evidence
form-85,gali1262,turtle,warara,,,rodrigues1985evidence
form-86,gali1262,war,warimi,,,rodrigues1985evidence
form-87,gali1262,wildcat,marakaja,,,rodrigues1985evidence
form-88,gali1262,xanthosoma,taier,,,rodrigues1985evidence
form-89,hixk1239,bow,kuraha,,,rodrigues1985evidence
form-90,hixk1239,corn,nasɨnasɨ,,,howard2001wrought
form-91,hixk1239,crosscousin,hamo,,,rodrigues1985evidence
form-92,hixk1239,25,ka-tɨ,,,rodrigues1985evidence
form-93,hixk1239,21,ɨm,,,rodrigues1985evidence
form-94,hixk1239,grandfather,tamu,,,rodrigues1985evidence
form-95,hixk1239,jaguar,awar-ko,,,rodrigues1985evidence
form-96,hixk1239,26,a,,,rodrigues1985evidence
form-97,hixk1239,standingtree,ohɨ,,,rodrigues1985evidence
form-98,ikpe1245,cockroach,talagapi,,,ikpengpacheco2001
form-99,ikpe1245,corn,anat,,,ikpengpacheco2001
form-100,inga1250,alligator,jakare,,,rodrigues1985evidence
form-101,inga1250,bow,urapa,,,rodrigues1985evidence
form-102,isla1278,cockroach,elewe,,,rodrigues1985evidence
form-103,isla1278,corn,awaʃi,,,rodrigues1985evidence
form-104,isla1278,malesyoungerbrother,ibiri,,,rodrigues1985evidence
form-105,isla1278,passionflower,merekoja,,,rodrigues1985evidence
form-106,isla1278,sea,balanna,,,rodrigues1985evidence
form-107,isla1278,xanthosoma,taja,,,rodrigues1985evidence
form-108,kaxu1237,corn,oʔnasɨ,,,meiraDBkaxui
form-109,kuik1246,corn,ana,,,kuikurodossantos2007
form-110,macu1259,anteater,tamanua,,,rodrigues1985evidence
form-111,macu1259,cockroach,masaruwa,,,amodio1996lingua
form-112,macu1259,corn,aʔnai,,,amodio1996lingua
form-113,macu1259,parrotsp,marakan,,,rodrigues1985evidence
form-114,mapo1246,cockroach,kwita,,,muller1975mapoyo
form-115,maqu1238,cockroach,kahau,,,maquiritaricaceres2011
form-116,maqu1238,corn,ənɲa,,,maquiritaricaceres2011
form-117,mund1330,25,ʃep,,,rodrigues1985evidence
form-118,mund1330,26,ɨp,,,rodrigues1985evidence
form-119,nhen1239,alligator,jakare,,,mello2000ptg
form-120,nhen1239,anteater,wawiri,,,mello2000ptg
form-121,nhen1239,bow,mirapara,,,mello2000ptg
form-122,nhen1239,cockroach,arawe,,,mello2000ptg
form-123,nhen1239,jaguar,jawarete,,,mello2000ptg
form-124,nhen1239,mycteriaamericana,tujuju,,,mello2000ptg
form-125,nhen1239,myletesfish,paku,,,mello2000ptg
form-126,nhen1239,ortalisbird,arakʷã,,,mello2000ptg
form-127,nhen1239,parrot,parawa,,,mello2000ptg
form-128,nhen1239,pineapple,awakaʃi,,,mello2000ptg
form-129,nhen1239,piranha,piraja,,,mello2000ptg
form-130,nhen1239,prochilodusfish,kurimatã,,,mello2000ptg
form-131,nhen1239,river,paranã,,,mello2000ptg
form-132,nhen1239,termite,kupĩʔi,,,mello2000ptg
form-133,nhen1239,turtle,jurara,,,mello2000ptg
form-134,nhen1239,wasp,kawa,,,mello2000ptg
form-135,nhen1239,wildcat,marakaja,,,mello2000ptg
form-136,para1310,cockroach,mariteum,,,alves2010arara
form-137,para1310,corn,onat,,,ikpengpacheco2001
form-138,para1310,tree,ebɨ,,,alves2017arara
form-139,pemo1248,brother,akoŋ,,,rodrigues1985evidence
form-140,pemo1248,brotherinlaw,pamu,,,rodrigues1985evidence
form-141,pemo1248,cockroach,araut,,,rodrigues1985evidence
form-142,pemo1248,cockroach,arawe,,,pemondearmellada1944dic
form-143,pemo1248,cockroach,asarwa,,,pemondearmellada1944dic
form-144,pemo1248,corn,aʔnai,,,garcia2006diccionario
form-145,pemo1248,21,uŋ,,,rodrigues1985evidence
form-146,pemo1248,mygrandfather,u-tamo,,,rodrigues1985evidence
form-147,tama1338,bromeliasp,karuata,,,rodrigues1985evidence
form-148,tara1324,trunk,epɨ,,,meira1998proto
form-149,taul1252,alligator,jakare,,,rodrigues1985evidence
form-150,taul1252,blackjaguar,jawaira,,,rodrigues1985evidence
form-151,taul1252,bow,urapa,,,rodrigues1985evidence
form-152,taul1252,coatimundibear,koazi,,,rodrigues1985evidence
form-153,taul1252,coatimundibear,koad͡ʒi,,,rodrigues1985evidence
form-154,taul1252,hut,tapɨj,,,rodrigues1985evidence
form-155,taul1252,parrotsp,marakaŋ,,,rodrigues1985evidence
form-156,taul1252,parrotsp,marakona,,,rodrigues1985evidence
form-157,taul1252,waves,palana,,,rodrigues1985evidence
form-158,taul1252,wildcat,marakaja,,,rodrigues1985evidence
form-159,trio1238,anteater,tamanoa,,,rodrigues1985evidence
form-160,trio1238,cockroach,arawe,,,triocarlin2004
form-161,trio1238,corn,aanai,,,triomeira1999
form-162,tupa1250,25,ʔap,,,rodrigues1985evidence
form-163,trio1238,femalesoldersister,ike-it,,,rodrigues1985evidence
form-164,trio1238,heron,wara,,,rodrigues1985evidence
form-165,tupa1250,26,ep,,,rodrigues1985evidence
form-166,trio1238,malesolderbrother,ike,,,rodrigues1985evidence
form-167,trio1238,parrot,parawa,,,rodrigues1985evidence
form-168,trio1238,parrotsp,marakana,,,rodrigues1985evidence
form-169,trio1238,pineapple,nana,,,rodrigues1985evidence
form-170,trio1238,xanthosoma,taja,,,rodrigues1985evidence
form-171,tupi1273,alligator,jakare,,,rodrigues1985evidence
form-172,tupi1273,anteater,tamanuʔa,,,rodrigues1985evidence
form-173,tupi1273,bow,urapar,,,rodrigues1985evidence
form-174,tupi1273,bromeliasp,karawata,,,rodrigues1985evidence
form-175,tupi1273,coatimundibear,kwati,,,rodrigues1985evidence
form-176,tupi1273,cockroach,araβe,,,rodrigues1985evidence
form-177,tupi1273,corn,aβati,,,rodrigues1985evidence
form-178,tupi1273,25,kaβ,,,rodrigues1985evidence
form-179,tupi1273,21,uβ,,,rodrigues1985evidence
form-180,tupi1273,femalescrossnephew,pen,,,rodrigues1985evidence
form-181,tupi1273,femalesoldersister,ɨker,,,rodrigues1985evidence
form-182,tupi1273,grandfather,amõj,,,rodrigues1985evidence
form-183,tupi1273,hut,tapɨj,,,rodrigues1985evidence
form-184,tupi1273,hut,tokaj,,,rodrigues1985evidence
form-185,tupi1273,ibisrubra,wara,,,rodrigues1985evidence
form-186,tupi1273,jaguar,jawar,,,rodrigues1985evidence
form-187,tupi1273,26,oβ,,,rodrigues1985evidence
form-188,tupi1273,malescrosscousin,iʔɨr,,,rodrigues1985evidence
form-189,tupi1273,malessister,enɨr,,,rodrigues1985evidence
form-190,tupi1273,malesyoungerbrother,ɨβɨr,,,rodrigues1985evidence
form-191,tupi1273,manatee,warawa,,,rodrigues1985evidence
form-192,tupi1273,mugilfish,kuremã,,,rodrigues1985evidence
form-193,tupi1273,mushroom,urupe,,,rodrigues1985evidence
form-194,tupi1273,mycteriaamericana,tujuju,,,rodrigues1985evidence
form-195,tupi1273,myletesfish,paku,,,rodrigues1985evidence
form-196,tupi1273,ortalisbird,arakwã,,,rodrigues1985evidence
form-197,tupi1273,owl,urukureʔa,,,rodrigues1985evidence
form-198,tupi1273,parrot,parawa,,,rodrigues1985evidence
form-199,tupi1273,parrotsp,marakanã,,,rodrigues1985evidence
form-200,tupi1273,passionflower,marakuja,,,rodrigues1985evidence
form-201,tupi1273,pineapple,nanã,,,rodrigues1985evidence
form-202,tupi1273,piranha,pirãj,,,rodrigues1985evidence
form-203,tupi1273,prochilodusfish,kurimata,,,rodrigues1985evidence
form-204,tupi1273,sea,paranã,,,rodrigues1985evidence
form-205,tupi1273,termite,kupiʔi,,,rodrigues1985evidence
form-206,tupi1273,trunk,ɨpɨ,,,rodrigues1985evidence
form-207,tupi1273,turtle,jurara,,,rodrigues1985evidence
form-208,tupi1273,war,warinĩ,,,rodrigues1985evidence
form-209,tupi1273,wasp,tapiukaβ,,,rodrigues1985evidence
form-210,tupi1273,wildcat,marakaja,,,rodrigues1985evidence
form-211,tupi1273,xanthosoma,taja,,,rodrigues1985evidence
form-212,waim1253,cockroach,bereta,,,bruno1996dictionary
form-213,waiw1244,bow,kraɸa,,,rodrigues1985evidence
form-214,waiw1244,brotherinlaw,ɸamo,,,rodrigues1985evidence
form-215,waiw1244,cockroach,maht͡ʃaru,,,hawkins2015dictionary
form-216,waiw1244,corn,nasɨnasɨ,,,hawkins2015dictionary
form-217,waiw1244,25,ka,,,rodrigues1985evidence
form-218,waiw1244,21,ɨm,,,rodrigues1985evidence
form-219,waiw1244,26,a,,,rodrigues1985evidence
form-220,waiw1244,leaf,jaa,,,hawkins2015dictionary
form-221,waiw1244,trunk,eɸu,,,rodrigues1985evidence
form-222,waya1269,alligator,ariwe,,,camargo2010wayana
form-223,waya1269,anteater,warisi,,,camargo2010wayana
form-224,waya1269,bow,paila,,,camargo2010wayana
form-225,waya1269,bromeliaplant,kuraiwat,,,camargo2010wayana
